# hu_moments_templates.csv —— Hu 矩模板库
#
# 文件说明：
#   存储齿轮和螺母的 Hu 不变矩特征，用于零件识别分类
#   Hu 矩（1962）具有平移、旋转、尺度不变性，适合工件形状识别
#
# 文件格式：
#   类别名称,hu1,hu2,hu3,hu4,hu5,hu6,hu7
#   以 '#' 开头的行为注释，会被自动跳过
#
# Hu 矩计算方法（供参考）：
#   1. 对目标二值图像调用 cv::moments() 获取图像矩
#   2. 调用 cv::HuMoments(m, hu) 计算 7 阶 Hu 不变矩
#   3. 将结果填入此文件对应行
#
# 识别距离计算（对数空间欧氏距离）：
#   h'_i = sign(hu_i) × log10(|hu_i|)  ← 对数归一化
#   d = √(Σ(h'_i(query) - h'_i(template))²)
#   d < threshold → 识别为该类别
#
# 如何采集新模板：
#   1. 采集标准齿轮/螺母样本图像（多张，不同角度）
#   2. 运行 VisionCore 计算每张图的 Hu 矩
#   3. 取多张图均值作为模板值追加到本文件
#
# 注意：
#   - 齿轮形状：近似圆形轮廓，有规则齿形
#   - 螺母形状：六边形或四边形轮廓
#   - 以下数值为典型参考值，建议用实际样本重新采集
#
# ─────────────────────────────────────────────────
# 格式：类别名称,hu1,hu2,hu3,hu4,hu5,hu6,hu7
# ─────────────────────────────────────────────────

# ── 齿轮（圆形轮廓，径向对称）──
# hu1 约为 0.15~0.20（圆形目标），hu2 接近 0（高度对称）
gear,0.1578,0.00012,-0.0000234,-0.000000567,0.00000000123,-0.0000000456,0.00000000078

# ── 螺母（六边形轮廓）——
# hu1 约为 0.20~0.25，hu2 较大（非圆形对称性低）
nut,0.2156,0.00356,-0.000312,-0.0000234,0.0000000567,-0.000000123,0.0000000089

# ── 示例：小齿轮（齿数多，轮廓更接近圆）──
# gear_small,0.1423,0.000089,-0.0000123,-0.000000234,0.000000000789,-0.0000000234,0.00000000045

# ─────────────────────────────────────────────────
# 注：
#   以上数值为教学示例近似值
#   实际项目中应使用采集脚本从真实样本图像中提取
#
#   采集脚本示例（C++ 伪代码）：
#     cv::Mat binary = 读取样本二值图;
#     cv::Moments m = cv::moments(binary, true);
#     double hu[7];
#     cv::HuMoments(m, hu);
#     输出: "gear," << hu[0] << "," << hu[1] << ...
# ─────────────────────────────────────────────────
